,Nuclide,half_life,Type,f_1,1_mu_amad,5_mu_amad,f_1,e_ing_50
333,Tm-159,9.13 m,M,0.0005,1.1e-11,1.8e-11,0.0005,2.1E-11
334,Tm-163,1.810 h,M,0.0005,3.8e-11,6.3e-11,0.0005,5.6E-11
335,Tm-164,2.0 m,M,0.0005,1.7e-12,2.8e-12,0.0005,4.1E-12
336,Tm-165,30.06 h,M,0.0005,2.2e-10,3.1e-10,0.0005,3.6E-10
337,Tm-168,93.1 d,M,0.0005,4.3e-09,3.5e-09,0.0005,1.0E-09
338,Lu-164,3.14 m,M,0.0005,7.3e-12,1.2e-11,0.0005,2.1E-11
339,Lu-164,3.14 m,S,0.0005,7.5e-12,1.2e-11,,
340,Lu-165,10.74 m,M,0.0005,1.4e-11,2.2e-11,0.0005,2.3E-11
341,Lu-165,10.74 m,S,0.0005,1.5e-11,2.3e-11,,
342,Lu-166,2.65 m,M,0.0005,5.1e-12,8.6e-12,0.0005,6.8E-12
343,Lu-166,2.65 m,S,0.0005,5.2e-12,8.8e-12,,
344,Lu-166m,1.41 m,M,0.0005,2.6e-12,4.3e-12,0.0005,4.5E-12
345,Lu-166m,1.41 m,S,0.0005,2.7e-12,4.4e-12,,
346,Lu-167,51.5 m,M,0.0005,3.8e-11,5.7e-11,0.0005,5.0E-11
347,Lu-167,51.5 m,S,0.0005,4e-11,6e-11,,
348,Lu-168m,6.7 m,M,0.0005,7.3e-12,7.3e-12,0.0005,9.1E-12
349,Lu-168m,6.7 m,S,0.0005,7.5e-12,7.5e-12,,
350,Lu-169m,2.66666 m,M,0.0005,5.7e-13,7.6e-13,0.0005,9.6E-13
351,Lu-169m,2.66666 m,S,0.0005,6.1e-13,7.9e-13,,
352,Lu-171m,1.31666 m,M,0.0005,3.7e-13,4.5e-13,0.0005,3.8E-13
353,Lu-171m,1.31666 m,S,0.0005,3.8e-13,4.6e-13,,
354,Lu-172m,3.7 m,M,0.0005,7.1e-13,7.8e-13,0.0005,9.8E-13
355,Lu-172m,3.7 m,S,0.0005,7.6e-13,8.2e-13,,
356,Hf-167,2.05 m,F,0.002,2e-12,3.4e-12,0.002,5.5E-12
357,Hf-167,2.05 m,M,0.002,2.8e-12,4.5e-12,,
358,Hf-169,3.24 m,F,0.002,1.4e-12,2.3e-12,0.002,2.9E-12
359,Hf-169,3.24 m,M,0.002,1.8e-12,2.8e-12,,
360,Hf-174,2.0E+15 y,F,0.002,3e-05,3.6e-05,0.002,2.5E-07
361,Ta-170,6.76 m,M,0.001,1.4e-11,2.2e-11,0.001,3.6E-11
362,Ta-170,6.76 m,S,0.001,1.5e-11,2.3e-11,,
363,Ta-178,9.31 m,M,0.001,1.7e-12,2.7e-12,0.001,1.5E-12
364,Ta-178,9.31 m,S,0.001,1.7e-12,2.8e-12,,
365,W-179m,6.40 m,F,0.3,5.1e-12,9e-12,0.3,3.9E-12
366,W-179m,6.40 m,F,0.3,5.1e-12,9e-12,0.01,3.9E-12
367,W-185m,1.597 m,F,0.3,1.9e-12,3.1e-12,0.3,9.3E-13
368,W-185m,1.597 m,F,0.3,1.9e-12,3.1e-12,0.01,9.3E-13
369,W-190,30.0 m,F,0.3,3.8e-11,6.6e-11,0.3,8.5E-11
370,W-190,30.0 m,F,0.3,3.8e-11,6.6e-11,0.01,8.6E-11
371,Re-179,19.5 m,F,0.8,8.8e-12,1.5e-11,0.8,1.6E-11
372,Re-179,19.5 m,M,0.8,1.3e-11,2.1e-11,,
373,Re-180,2.44 m,F,0.8,2.1e-12,3.6e-12,0.8,2.4E-12
374,Re-180,2.44 m,M,0.8,2.4e-12,4.1e-12,,
375,Re-183,70.0 d,F,0.8,3.8e-10,5.4e-10,0.8,9.5E-10
376,Re-183,70.0 d,M,0.8,2.6e-09,2.3e-09,,
377,Re-190,3.1 m,F,0.8,4.6e-12,7.9e-12,0.8,8.0E-12
378,Re-190,3.1 m,M,0.8,5.4e-12,9.3e-12,,
379,Os-177,2.8 m,F,0.01,3.5e-12,5.9e-12,0.01,1.0E-11
380,Os-177,2.8 m,M,0.01,4.9e-12,7.9e-12,,
381,Os-177,2.8 m,S,0.01,5.1e-12,8.1e-12,,
382,Os-179,6.5 m,F,0.01,1.4e-11,2.2e-11,0.01,6.4E-11
383,Os-179,6.5 m,M,0.01,1.9e-11,2.9e-11,,
384,Os-179,6.5 m,S,0.01,1.9e-11,3e-11,,
385,Os-183,13.0 h,F,0.01,8.2e-11,1.4e-10,0.01,2.3E-10
386,Os-183,13.0 h,M,0.01,1.7e-10,2.4e-10,,
387,Os-183,13.0 h,S,0.01,1.9e-10,2.5e-10,,
388,Os-183m,9.9 h,F,0.01,8.6e-11,1.5e-10,0.01,2.1E-10
389,Os-183m,9.9 h,M,0.01,1.4e-10,2.2e-10,,
390,Os-183m,9.9 h,S,0.01,1.5e-10,2.2e-10,,
391,Os-186,2.0E+15 y,F,0.01,7.2e-07,8.5e-07,0.01,3.2E-08
392,Os-186,2.0E+15 y,M,0.01,1.1e-06,6.8e-07,,
393,Os-186,2.0E+15 y,S,0.01,3.8e-06,2.3e-06,,
394,Os-190m,9.9 m,F,0.01,5.6e-12,1e-11,0.01,8.4E-12
395,Os-190m,9.9 m,M,0.01,7.3e-12,1.3e-11,,
396,Os-190m,9.9 m,S,0.01,7.5e-12,1.3e-11,,
397,Os-196,34.9 m,F,0.01,2.9e-11,4.9e-11,0.01,1.2E-10
398,Os-196,34.9 m,M,0.01,5.5e-11,8.7e-11,,
399,Os-196,34.9 m,S,0.01,5.8e-11,9.1e-11,,
400,Ir-179,1.31666 m,F,0.01,4.1e-12,6.7e-12,0.01,1.7E-11
401,Ir-179,1.31666 m,M,0.01,5.3e-12,8.4e-12,,
402,Ir-179,1.31666 m,S,0.01,5.4e-12,8.6e-12,,
403,Ir-180,1.5 m,F,0.01,2e-12,3.5e-12,0.01,2.5E-12
404,Ir-180,1.5 m,M,0.01,2.6e-12,4.4e-12,,
405,Ir-180,1.5 m,S,0.01,2.6e-12,4.5e-12,,
406,Ir-181,4.90 m,F,0.01,4.7e-12,8e-12,0.01,1.2E-11
407,Ir-181,4.90 m,M,0.01,6.7e-12,1.1e-11,,
408,Ir-181,4.90 m,S,0.01,6.9e-12,1.1e-11,,
409,Ir-183,58 m,F,0.01,2.3e-11,4.2e-11,0.01,5.5E-11
410,Ir-183,58 m,M,0.01,3.9e-11,6.2e-11,,
411,Ir-183,58 m,S,0.01,4.1e-11,6.4e-11,,
412,Ir-196m,1.40 h,F,0.01,5.4e-11,9.7e-11,0.01,1.3E-10
413,Ir-196m,1.40 h,M,0.01,9.5e-11,1.5e-10,,
414,Ir-196m,1.40 h,S,0.01,9.9e-11,1.6e-10,,
415,Pt-183,6.5 m,F,0.01,7.6e-12,1.3e-11,0.01,1.8E-11
416,Pt-184,17.3 m,F,0.01,1.5e-11,2.6e-11,0.01,3.0E-11
417,Pt-187,2.35 h,F,0.01,3.3e-11,6e-11,0.01,8.8E-11
418,Pt-190,6.5E+15 y,F,0.01,1.1e-07,1.3e-07,0.01,6.8E-09
419,Pt-202,44 h,F,0.01,8.6e-10,1.4e-09,0.01,4.5E-09
420,Au-186,10.7 m,F,0.1,1.4e-11,2.5e-11,0.1,4.6E-11
421,Au-186,10.7 m,M,0.1,2.1e-11,3.4e-11,,
422,Au-186,10.7 m,S,0.1,2.2e-11,3.5e-11,,
423,Au-187,8.4 m,F,0.1,4.8e-12,8.6e-12,0.1,1.1E-11
424,Au-187,8.4 m,M,0.1,7.8e-12,1.2e-11,,
425,Au-187,8.4 m,S,0.1,8.1e-12,1.3e-11,,
426,Au-188,8.84 m,F,0.1,6.8e-12,1.2e-11,0.1,2.1E-11
427,Au-188,8.84 m,M,0.1,9.8e-12,1.6e-11,,
428,Au-188,8.84 m,S,0.1,1e-11,1.6e-11,,
429,Au-189m,4.59 m,F,0.1,2.6e-12,4.5e-12,0.1,3.6E-12
430,Au-189m,4.59 m,M,0.1,3.9e-12,6.2e-12,,
431,Au-189m,4.59 m,S,0.1,4e-12,6.4e-12,,
432,Au-190,42.8 m,F,0.1,1.9e-11,3.4e-11,0.1,4.7E-11
433,Au-190,42.8 m,M,0.1,2.6e-11,4.5e-11,,
434,Au-190,42.8 m,S,0.1,2.7e-11,4.6e-11,,
435,Au-191,3.18 h,F,0.1,2.9e-11,5.4e-11,0.1,7.7E-11
436,Au-191,3.18 h,M,0.1,6.4e-11,9.2e-11,,
437,Au-191,3.18 h,S,0.1,6.9e-11,9.7e-11,,
438,Au-192,4.94 h,F,0.1,7.2e-11,1.4e-10,0.1,1.8E-10
439,Au-192,4.94 h,M,0.1,9.8e-11,1.7e-10,,
440,Au-192,4.94 h,S,0.1,1e-10,1.7e-10,,
441,Au-196,6.183 d,F,0.1,1.5e-10,2.7e-10,0.1,5.3E-10
442,Au-196,6.183 d,M,0.1,6e-10,6.7e-10,,
443,Au-196,6.183 d,S,0.1,6.7e-10,7.3e-10,,
444,Au-196m,9.6 h,F,0.1,1.2e-10,2.1e-10,0.1,4.1E-10
445,Au-196m,9.6 h,M,0.1,4.2e-10,5.7e-10,,
446,Au-196m,9.6 h,S,0.1,4.6e-10,6.1e-10,,
447,Hg-187_inorg,2.2 m,F,0.02,3.8e-12,6.4e-12,0.02,7.2E-12
448,Hg-187_inorg,2.2 m,M,0.02,4.5e-12,7.6e-12,,
449,Hg-187_org,2.2 m,F,0.4,3.8e-12,6.4e-12,1.0,7.1E-12
450,Hg-187_org,2.2 m,F,0.4,7.2e-12,,,
451,Hg-187m_inorg,2.4 m,F,0.02,4.3e-12,7.4e-12,0.02,7.3E-12
452,Hg-187m_inorg,2.4 m,M,0.02,5.2e-12,8.8e-12,,
453,Hg-187m_org,2.4 m,F,0.4,4.3e-12,7.4e-12,1.0,7.3E-12
454,Hg-187m_org,2.4 m,F,0.4,7.3e-12,,,
455,Hg-188_inorg,3.25 m,F,0.02,3.1e-12,5.2e-12,0.02,8.2E-12
456,Hg-188_inorg,3.25 m,M,0.02,4.4e-12,7.1e-12,,
457,Hg-188_org,3.25 m,F,0.4,3.1e-12,5.3e-12,1.0,8.4E-12
458,Hg-188_org,3.25 m,F,0.4,8.4e-12,,,
459,Hg-190_inorg,20.0 m,F,0.02,9.9e-12,1.8e-11,0.02,2.5E-11
460,Hg-190_inorg,20.0 m,M,0.02,1.5e-11,2.5e-11,,
461,Hg-190_org,20.0 m,F,0.4,9.8e-12,1.8e-11,1.0,1.8E-11
462,Hg-190_org,20.0 m,F,0.4,2.4e-11,,,
463,Hg-191m_inorg,50.8 m,F,0.02,2.4e-11,4.5e-11,0.02,5.5E-11
464,Hg-191m_inorg,50.8 m,M,0.02,4.3e-11,6.8e-11,,
465,Hg-191m_org,50.8 m,F,0.4,2.4e-11,4.4e-11,1.0,3.4E-11
466,Hg-191m_org,50.8 m,F,0.4,5e-11,,,
467,Hg-192_inorg,4.85 h,F,0.02,8e-11,1.5e-10,0.02,2.3E-10
468,Hg-192_inorg,4.85 h,M,0.02,1.3e-10,2.1e-10,,
469,Hg-192_org,4.85 h,F,0.4,7.3e-11,1.4e-10,1.0,7.2E-11
470,Hg-192_org,4.85 h,F,0.4,1.8e-10,,,
471,Hg-205_inorg,5.2 m,F,0.02,3.9e-12,6.6e-12,0.02,8.3E-12
472,Hg-205_inorg,5.2 m,M,0.02,5.2e-12,8.7e-12,,
473,Hg-205_org,5.2 m,F,0.4,3.9e-12,6.7e-12,1.0,8.4E-12
474,Hg-205_org,5.2 m,F,0.4,8.3e-12,,,
475,Hg-206_inorg,8.15 m,F,0.02,9.4e-12,1.6e-11,0.02,2.1E-11
476,Hg-206_inorg,8.15 m,M,0.02,1.5e-11,2.4e-11,,
477,Hg-206_org,8.15 m,F,0.4,9.5e-12,1.6e-11,1.0,2.1E-11
478,Hg-206_org,8.15 m,F,0.4,2.1e-11,,,
479,Tl-190,2.6 m,F,1.0,4e-12,6.7e-12,1.0,1.5E-11
480,Tl-190m,3.7 m,F,1.0,5.3e-12,9.3e-12,1.0,1.4E-11
481,Tl-196,1.84 h,F,1.0,3.1e-11,5.7e-11,1.0,5.4E-11
482,Tl-206,4.199 m,F,1.0,3.4e-12,5.7e-12,1.0,6.9E-12
483,Tl-206m,3.74 m,F,1.0,6.5e-12,6.5e-12,1.0,1.1E-11
484,Tl-207,4.77 m,F,1.0,3.6e-12,6.1e-12,1.0,7.1E-12
485,Tl-208,3.053 m,F,1.0,4.8e-12,8.4e-12,1.0,8.6E-12
486,Tl-209,2.161 m,F,1.0,3.4e-12,5.8e-12,1.0,6.4E-12
487,Tl-210,1.30 m,F,1.0,2.8e-12,4.8e-12,1.0,6.5E-12
488,Pb-194,12.0 m,F,0.2,8.6e-12,1.5e-11,0.2,2.0E-11
489,Pb-196,37 m,F,0.2,1.7e-11,3.1e-11,0.2,2.8E-11
490,Pb-197,8 m,F,0.2,3.7e-12,6.8e-12,0.2,6.6E-12
491,Pb-197m,43 m,F,0.2,2.6e-11,4.6e-11,0.2,4.5E-11
492,Pb-204m,67.2 m,F,0.2,2.3e-11,4.4e-11,0.2,5.0E-11
493,Bi-197,9.33 m,F,0.05,1e-11,1.8e-11,0.05,2.4E-11
494,Bi-197,9.33 m,M,0.05,1.5e-11,2.5e-11,,
495,Bi-204,11.22 h,F,0.05,2.7e-10,4.8e-10,0.05,6.1E-10
496,Bi-204,11.22 h,M,0.05,3.5e-10,5.8e-10,,
497,Bi-208,3.68E+5 y,F,0.05,5.9e-10,9.6e-10,0.05,1.2E-09
498,Bi-208,3.68E+5 y,M,0.05,4.4e-09,2.9e-09,,
499,Bi-211,2.14 m,F,0.05,1e-09,1.5e-09,0.05,1.2E-11
500,Bi-211,2.14 m,M,0.05,1.2e-09,1.8e-09,,
501,Bi-215,7.6 m,F,0.05,4.8e-09,7.6e-09,0.05,8.0E-11
502,Bi-215,7.6 m,M,0.05,8.6e-09,1.3e-08,,
503,Po-204,3.53 h,F,0.1,1.4e-10,1.4e-10,0.1,3.1E-10
504,Po-204,3.53 h,M,0.1,3.8e-10,3.8e-10,,
505,Po-206,8.8 d,F,0.1,8.3e-09,1e-08,0.1,4.6E-09
506,Po-206,8.8 d,M,0.1,5.2e-08,3.9e-08,,
507,Po-208,2.898 y,F,0.1,7.6e-07,9.1e-07,0.1,3.1E-07
508,Po-208,2.898 y,M,0.1,3.5e-06,2.6e-06,,
509,Po-209,102 y,F,0.1,7.6e-07,9.1e-07,0.1,3.0E-07
510,Po-209,102 y,M,0.1,3.4e-06,2.5e-06,,
511,Po-218,3.10 m,F,0.1,9.6e-10,1.3e-09,0.1,2.8E-11
512,Po-218,3.10 m,M,0.1,2.2e-09,2.9e-09,,
513,At-205,26.2 m,F,1.0,2.2e-10,2.9e-10,1.0,7.7E-11
514,At-205,26.2 m,M,1.0,6.2e-10,6.7e-10,,
515,At-208,1.63 h,F,1.0,7.1e-11,1.2e-10,1.0,9.4E-11
516,At-208,1.63 h,M,1.0,3.8e-10,3.7e-10,,
517,At-209,5.41 h,F,1.0,8.9e-10,1.3e-09,1.0,1.9E-09
518,At-209,5.41 h,M,1.0,2800000000.0,2700000000.0,,
519,At-210,8.1 h,F,1.0,3.7e-09,5.1e-09,1.0,9.8E-09
520,At-210,8.1 h,M,1.0,9.8e-09,9.6e-09,,
521,Fr-212,20.0 m,F,1.0,2.1e-09,2.8e-09,1.0,7.1E-10
522,Fr-221,4.9 m,F,1.0,5.1e-09,7.7e-09,1.0,1.7E-10
523,Ra-230,93 m,M,0.2,1.1e-10,1.7e-10,0.2,1.9E-10
524,Ac-223,2.10 m,F,0.0005,6e-09,9.5e-09,0.0005,4.1E-11
525,Ac-223,2.10 m,M,0.0005,7.1e-09,1.1e-08,,
526,Ac-223,2.10 m,S,0.0005,7.2e-09,1.1e-08,,
527,Ac-229,62.7 m,F,0.0005,2.6e-11,3.8e-11,0.0005,4.4E-11
528,Ac-229,62.7 m,M,0.0005,3.6e-11,5.3e-11,,
529,Ac-229,62.7 m,S,0.0005,3.5e-11,5.4e-11,,
530,Ac-230,2.03333 m,F,0.0005,2.4e-12,4e-12,0.0005,5.7E-12
531,Ac-230,2.03333 m,M,0.0005,2.7e-12,4.5e-12,,
532,Ac-230,2.03333 m,S,0.0005,2.7e-12,4.6e-12,,
533,Th-233,22.3 m,M,0.0005,1.8e-11,2.7e-11,0.0005,2.2E-11
534,Th-233,22.3 m,S,0.0002,1.9e-11,2.9e-11,0.0002,2.2E-11
535,Pa-229,1.50 d,M,0.0005,5.9e-09,4.8e-09,0.0005,2.2E-10
536,Pa-229,1.50 d,S,0.0005,6.7e-09,5.5e-09,,
537,Pa-234m,1.17 m,M,0.0005,1.4e-12,2.4e-12,0.0005,3.1E-12
538,Pa-234m,1.17 m,S,0.0005,1.4e-12,2.4e-12,,
539,Pa-236,9.1 m,M,0.0005,1.2e-11,2e-11,0.0005,2.3E-11
540,Pa-236,9.1 m,S,0.0005,1.3e-11,2.1e-11,,
541,U-228,9.1 m,F,0.02,2.4e-08,3.8e-08,0.02,1.9E-10
542,U-228,9.1 m,M,0.02,3.7e-08,5.7e-08,0.002,1.9E-10
543,U-228,9.1 m,S,0.002,3.8e-08,5.9e-08,,
544,Np-231,48.8 m,M,0.0005,1.6e-09,1.7e-09,0.0005,2.9E-11
545,Np-240m,7.22 m,M,0.0005,1.7e-09,1.3e-11,0.0005,2.9E-11
546,Np-241,13.9 m,M,0.0005,1.4e-11,2.2e-11,0.0005,1.8E-11
547,Pu-232,34.1 m,M,0.0005,1.8e-08,1.9e-08,0.0005,2.4E-08
548,Pu-232,34.1 m,S,0.0005,2.5e-08,2.9e-10,0.0005,2.8E-10
549,Am-247,23.0 m,M,0.0005,2.7e-11,4.4e-11,0.0005,3.1E-11
550,Cm-239,2.9h,M,0.0005,6.4e-11,8.8e-11,0.0005,8.2E-11
551,Bk-244,4.35 h,M,0.0005,1e-09,1.5e-08,0.0005,1.0E-09
552,Bk-248m,23.7 h,M,0.0005,1.2e-08,6.9e-10,0.0005,3.0E-09
553,Bk-251,55.6 m,M,0.0005,4.3e-11,6.4e-11,0.0005,4.4E-11
554,Cf-247,31.1 h,M,0.0005,4.2e-11,4.9e-11,0.0005,2.9E-11
555,Cf-255,85 m,M,0.0005,5.4e-09,4.5e-09,0.0005,4.0E-11
556,Cf-256,12.3 m,M,0.0005,2.1e-06,4e-06,0.0005,3.0E-09
557,Es-249,102.2 m,M,0.0005,2.2e-10,2.7e-10,0.0005,2.2E-11
558,Es-255,39.8 d,M,0.0005,3.6e-06,2.9e-06,0.0005,6.0E-09
559,Es-256,25.4 m,M,0.0005,2.1e-07,3.4e-07,0.0005,4.1E-09
560,Fm-251,5.30 h,M,0.0005,1.7e-09,1.8e-09,0.0005,7.2E-11
561,Fm-256,157.6 m,M,0.0005,3.9e-06,7e-06,0.0005,2.6E-08
